Sno, songs,singer,lyrics,emotion
95,Ram Siya Ram,Poonam Thakkar | Shabbir Ahmed | Sidhika Sharma,"Kaushlya Dashrath Ke Nandan

Ram Lalat Pe Shobhit Chandan

Raghupati Ki Jai Bole Lakshman

Ram Siya Ka Ho Abhinandan

Anjani Putr Padhe Hain Charan Mein

Ram Siya Japte Tan Man Mein

Mangal Bhavan Amangal Haari

Drabahu Sudasarath Achar Bihari

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Mere Tan Man Dhandkan Mein

Siya Ram Ram Hai

Man Mandir Ke Darpan Mein

Siya Ram Ram Hai

Tu Hi Siya Ka Ram

Radha Ka Tu Hi Shyam

Janamo Janam Ka Hi Ye Sath Hai

Mira Ka Tu Bhajan

Bhajate Hari Pavan

Tulsi Mein Bhi Likhi Ye Baat Hai

Mangal Bhavan Amangal Haari

Drabahu Sudasarath Achar Bihari

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Mangal Bhavan Amangal Haari

Mangal Bhavan Amangal Haari

Drabahu Sudasarath Achar Bihari

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram

Ram Siya Ram Siya Ram

Jai Jai Ram",
96,Deva Deva,Pritam | Arijit | Amitabh | Jonita,"Chingariyan Yeh Jo Mere
Seene Mein Hai Dafan
Inko Zara Deke Hawa
Ban Jaaun Main Agan
Chingariyan Yeh Jo Mere
Seene Mein Hai Dafan
Inko Zara Deke Hawa
Ban Jaaun Main Agan
Dahak Raha Hai Banke Sharara
Dekh Mera Badan
Sab Kuchh Mera Karke Fanaa
Karta Hoon Main Hawan
Om Deva Deva
Om Deva Deva Namah
Namho Namah
Om Deva Deva
Om Deva Deva Namah
Namho Namah Om
Mehsoos Khud Ko Maine Kiya
Jab Toone Chhua
Om Deva Deva
Om Deva Deva Namah
Namho Namah Om
Namho Namho Namho Namho
Namho Namho Namho Namho
Ishq Humara Nahi Yeh Fitoor Hai
Rishta Puraana Koyi Toh Zaroor Hai
Aake Mile Hain Usi Ke Toh Vaaste
Yeh Raaste Yeh Raaste
Hmm Tu Hai Hawaon Ka Jhonka
Main Aag Hoon
Tu Raagdaari Hai Meri
Main Raag Hoon
Main Jee Raha Hoon
Tere Intezaar Mein
Aavaaz De Aavaaz De
Teri Saraye Dhoondh Raha Tha
Mera Banjara Man
Sab Kuchh Mera Karke Fanaa
Karta Hoon Main Hawan
Om Deva Deva
Om Deva Deva Namah
Namho Namah
Om Deva Deva
Om Deva Deva Namah
Namho Namah Om
Mehsoos Khud Ko Maine Kiya
Jab Toone ChhuaOm Deva Deva
Om Deva Deva Namah
Namho Namah Om
Namho Namho Namho Namho
Namho Namho Namho Namho..",
97,Shree Krishna Govind Hare Murari,Maanya Arora,"Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Pitu Maat Swami Sakha Humare

Pitu Maat Swami Sakha Humare

Hey Nath Narayan Vasudeva

Shri Krishna Govind
Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Thakur hamaare praanon

se pyaare

Tum ho hamaare ham

hai tumhaare

He nath narayan vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Gaiyaan charaiya

maakan churaiya

Gaiyaan charaiya

maakan churaiya

Deenon kii naiya ke tum

hi kivaiyaa

Hey Nath Narayan Vasudeva

Govind mero hai gopal

mero hai

Govind mero hai gopal

mero hai

Shri banke bihari

nandlaal

mero hai

Govind mero hai gopal

mero hai

Shri banke bihari nandlaal

mero hai

Govind mero hai gopal

mero hai

Govind mero hai gopal

mero hai

Shri banke bihari

nandlaal

mero hai

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Shri Krishna Govind

Hare Murari

Hey Nath Narayan Vasudeva

Tumse hai dharti

tumse hai ambar

Agni pawan or saaton

samandar

He nath narayan vasudeva

Shri krishna govind

hare murari

He nath narayan vasudeva

Govind bolo hari gopal bolo

Govind bolo hari gopal bolo

Radharaman hari govind bolo

Govind bolo hari gopal bolo

Govind bolo hari gopal bolo

Radharaman hari govind bolo

Govind bolo hari gopal bolo",
98,O Paalanhaare,A.R. Rahman,"O palanhare, nirgun aur nyare
Tumare bin hamara kaunon nahee
Hamaree uljhan suljhao bhagwan,
Tumare bin hamara kaunon nahee
Tumhe hamaka ho sambhale,
tumhe hamare rakhwale
Tumare bin hamara kaunon nahee
Tumare bin hamara kaunon nahee

Tumare bin hamara kaunon nahee

Chanda me tumhe toh bhare ho chandni,
Suraj me ujala tumhe se
Yeh gagan hai magan,
Tumhe toh diye ho isse tare
Bhagwan yeh jivan
Tumhe naa sanwaroge,
toh kya koee sanware

O palanhare nirgun aur nyare,
tumare bin hamara kaunon nahee

tumare bin hamara kaunon nahee
Jo suno toh, kahe,
prabhuji hamaree hai binati,
dukhi jan ko, dhiraj do,
Hare nahee woh kabhee dukh se
Tum nirbal ko raksha do,
reh paye nirbal sukh se
Bhakti ko shakti do
Bhakti ko shakti do
Jag ke jo swami ho, itani toh araj suno
Hai path me andhiyare,
dedo vardan me ujiyare

O palanhare, nirgun aur nyare
Tumare bin hamara kaunon nahee
Hamaree uljhan suljhao bhagwan,
Tumare bin hamara kaunon nahee
O palanhare, nirgun aur nyare
Tumare bin hamara kaunon nahee
Hamaree uljhan suljhao bhagwan,
Tumare bin hamara kaunon nahee

O palanhare....
....
O palanhare...",
99,BESABRIYAAN,Armaan Malik,"Raaste bhaage

Paanv se aage

Zindagi se chal

Kuch aur bhi maange (x2)

Kyun sochna hai jaana kahaan

Jaaye wahin le jaaye jahaan

Besabriyaan, besabriyaan

Besabriyaan, besabriyaan...

Kadmon pe tere baadal jhukenge

Jab tak tujhe ehsaas hai
Jaageer teri tera khajana

Ye tishnagi hai

Ye pyaas hai

Kyun rokna ab ye kaarvan

Jaaye wahin le jaaye jahaan

Besabriyaan, besabriyaan

Besabriyaan, besabriyaan...

Kya ye ujaale

Kya ye andhere

Dono se aage hai manzar tere

Kyun roshni tu baahar talaashe

Teri mashaale hain ander tere..

Kyun dhoondna pairon ke nishaan

Jaaye wahin le jaaye jahaan

Besabriyaan, besabriyaan

Besabriyaan, o.. besabriyaan...
",
100,Mehrama,Pritam | Darshan Raval,"Toota dil ya maine kisi ka toda hai.

Chor gya ya mainy kisi ko chora hai.

Ek ka jwaab nai hazaron hi sawal hain

Ajeeb woh azeez jo mere sath tha khush

Nai mera bina behal hai

Raat ko so ni pata sar mera ghomta hai

Paas me baith ke koi sar mera choomta hai.

Ye tu nai ye teri rooh hai,

Teri rooh se aati meri khushboo hai.

Tu paas nahi paas toh bitha liya hai
Tune chor diya tujhe maine tujhe paa liya hai

Mujhe bhoolna tha bhool na tum pati ho.

Yaadein sath jayen meri jahan jahan jati ho.

Raaz tere dil me par khol na pati ho

Zuban cheeni dard ne kuch bol na pati ho

Mehrma ve mehrma ve mehrma

Ishq ch dub na mere sikh le tairna

Mehrma ve mehrma ve mehrma

Pajda hi reha mere kolon hun sikh le thairna

Jeene ke dikhawe me rooz khud ko marti ho

Teri meri photos dekh ke din guzarti ho

Maya hai sab jana sab dikhawa hai

Mai kyu khush kyu tujhe pachtava hai

Mai toh toota hu toote ko kon tod sakta hai

Usi ne choda jo kehta tujhe kon chor sakta hai.

Ho gya jo hona tha honi ko kon taal sakta hai

Mere jaisa ishq kon teri rooh me daal sakta hai

Tu galat nhi na tera koi kasoor hai.

Dil ke badle me dhokha dastoor hai.

Tu Buri nahi na teri majboori hai

Tune jane ko kaha mujhe kabool dori hai.

Nafa nahi mainy wafa nibhhai hai

Peeche ni aya maine izzat bachai hai.

Dil kyu toda ye swaal na kiya hai.

Tujhe jane dia maine koi bawal na kia hai.

Mehal tijoriyon gadiyan bhi de payenge

Jisam tera choom ke khreed bhi woh le payenge

Par Jannat se utre farishte bhi jana

Mere jaisa pyaar tumhe kabhi na de payenge

Jisam ke raste se ruh teri chui hai

Is liye aaj tu udaas baithi hui hai

Mohobbat mohobbat mohobbat

Adhoori reh gayi teri meri muqamal hui hai

Mehrma ve mehrma ve mehrma

Ishq ch doob na mere sikh le tairna

Mehrma ve mehrma ve mehrma

Pajda hi reha mere kolon hun sikh le thairna
",
101,Aankhein, Vilen,,
102,Achyutam Keshavam,Alka Yagnik,,
103,Bhala,vinay katoch,,
104,Kar Har Maidaan Fateh,Sukhwinder Singh · Shreya Ghoshal · Vikram Montrose · Shekhar Astitwa,,
105,Qaafirana,Arijit Singh & Nikhita| Amit T,,
106,Damru Wala,Hansraj Raghuwanshi,,
107,Mere Baba,Jubin Nautiyal,,
108,Tum Prem Ho (Reprise),Mohit Lalwani · Bharat Kamal · Bharat Kamal · Shekhar Astitwa · Bharat Kamal,,
109,Mere Nishaan,"Kailash Kher, Meet Bros Anjjan",,
110,Parvati Boli Shankar Se,Hansraj Raghuwanshi,,
111,Har Har Gange,Arijit Singh,,
112,Tu Jaane Na,Pritam Chakraborty · Atif Aslam,,
113,Mere Ghar Ram Aaye Hain,Jubin Nautiyal,,
114,Aas Paas Khuda,Rahat Fateh Ali Khan · Vishal-Shekhar · Vishal Dadlani · Shekhar Ravjiani,,
115,Mujhe Raat Din Bas,Sonu Nigam,,
116,Is Kadar Pyar Hai,Sonu Nigam,,
117,Hoshwalon Ko Khabar Kya,Jagjit Singh,,
118,Mera Chand Mujhe Aaya Hai Nazar,Kumar Sanu,,
119,Waada Raha Sanam,Alka Y & Abhijeet,,
120,Madhosh Dil Ki Dhadkan,Lata Mangeshkar,,
121,Saawan Barse,"Hariharan, Sadhana Sargam",,
122,Ab Mujhe Raat Din,Sonu Nigam,,
123,Koi Fariyaad,Jagjit Singh,,
124,Ghar Se Nikalte Hi,"Jugal Hansraj, Mayuri Kango",,
125,Bahut Khoobsurat Ho,"Abhijeet, Neerja Pandit",,
126,Ae Kash Ke Hum,Kumar Sanu,,
127,Dil Ka Qaraar,"Sonu Nigam, Shraddha Pandit",,
128,Pehla Nasha Pehla Khumar,"Udit Narayan, Sadhana Sargam",,
129,Saathiya Tune Kya Kiya,S P Balasubramaniam & Chitra,,
130,Kabhi Yaadon Me Aau,Abhijeet,,
131,Main Jahaan Rahoon,Rahat Fateh Ali Khan,,
132,KHAIRIYAT (BONUS TRACK),Arijit Singh,,
133,Mera Dil Bhi Kitna Pagal Hai,Kumar Sanu & Alka Yagnik,,
134,Kal Ho Naa Ho,Sonu Nigam,,
135,O Jaana Na Jaana,Kumar Sanu | Lata Mangeshkar,,
136,Dholida,Janhvi Shrimankar & Shail Hada,,
137,Jhume Re Gori,"Archana Gore, Tarannum Malik Jain, Dipti Rege, Aditi Pradhudesai",,
138,Nagada Sang Dhol,Shreya Ghoshal,,
139,Ghoomar,Shreya Ghoshal,,
140,Chaka Chak,Shreya Ghoshal,,
141,Tum Tum,"Sri Vardhini , Aditi, Satya Yamini, Roshini & Tejaswini ",,
142,Param Sundari,Shreya Ghoshal,,
143,Radha Kaise Na Jale,Asha Bhosle & Udit Narayan,,
144,Deewani Mastani,Shreya Ghoshal,,
145,What Jhumka?,Arijit Singh and Jonita Gandhi,,
146,Khalibali,,,
147,Pinga,Shreya Ghoshal,,
148,Soja Zara,Madhushree,,
149,Shubhaarambh,Shruti Pathak & Divya Kumar,,
150,Lahu Munh Lag Gaya,Siddharth-Garima,,
151,Kamariya,Darshan Raval,,
152,Zingaat,Ajay-Atul,,
153,Mor Bani Thanghat Kare,Osman Mir & Aditi Paul,,
154,Dholi Taaro,"Kavita Krishnamurthy, Vinod Rathod, Karsan Sagthiya",,
155,Saami Saami,Sunidhi Chauhan ,,
156,Barso Re,Shreya Ghoshal,,
157,Nainowale Ne,Neeti Mohan,,
158,London Thumakda,"Labh Janjua, Sonu Kakkad, Neha Kakkar",,
159,Badri Ki Dulhania,"Neha, Monali, Ikka",,
160,Sakal Ban,Raja Hasan,,
161,Dhindhora Baje Re,"Darshan, Bhoomi,Pritam",,
162,Gori Tame Manda Lidha Mohi Raj,Umesh Barot,,
163,Udi Udi Jaye,"Sukhwinder Singh, Bhoomi Trivedi & Karsan Sagathia",,
164,Sauda Khara Khara,Diljit,,
165,Ghagra,Pritam,,
166,Radha,Udit Narayan|Shreya Ghosal,,
167,Dholida,"Udit Narayan, Neha Kakkar, Palak Muchchal, Raja Hassan",,
168,One Two Three Four,"Vishal Dadlani, Hamsika Iyer",,
169,Chikni Chameli,Shreya | Ajay-Atul,,
170,Cham Cham,Monali Thakur,,
171,Sheila Ki Jawani,"   Vishal Dadlani, Sunidhi Chauhan",,
172,Aaj Ki Raat,Madhubanti | Divya | Amitabh,,
173,Chammak Challo, Akon,,
174,Gallan Goodiyaan,"YASHITA SHARMA, MANISH KUMAR TIPU, FARHAN AKHTAR, SHANKAR MAHADEVAN, SUKHWINDER SINGH",,
175,Apsara Aali,"Sonalee Kulkarni, Ajay Atul",,
176,Jhalla Wallah,Shreya Ghoshal,,
177,Angaaron,"DSP, Shreya",,
178,The Breakup Song,"Arijit,Badshah,Jonita,Nakash|Pritam",,
179,Tauba Tauba, Karan Aujla,,
180,Main Nikla Gaddi Leke,"Mithoon, Udit N, Aditya N",,
181,Jamal Kudu,Bhushan Kumar,,
182,Achacho,Hiphop Tamizha,,
183,Chogada,Darshan Raval,,
184,Meri Jaan,Neeti Mohan,,
185,Kajra Re,"Alisha Chinai, Shankar Mahadevan, Javed Ali",,
186,Paon Ki Jutti,Jyoti Nooran,,
187,First Class,Arijit Singh | Pritam| Amitabh,,
188,Galti Se Mistake,"Pritam, Arijit, Amit",,
189,Tere Vaaste,Sachin-Jigar,,
190,Sadda Dil Vi Tu (Ga Ga Ga Ganpati),Hard Kaur,,
191,Teri Baaton Mein Aisa Uljha Jiya,"Raghav, Tanishk Bagchi & Asees Kaur.",,
192,Afghan Jalebi,ASRAR,,
193,Powerful Hanuman Chalisa,Saicharan ,,
194,Navrai Majhi,Swanand Kirkire,,
195,Malhar,Vishal Dadlani,,
196,Taal Se Taal Mila,,,
197,Laal Peeli Akhiyaan,Romy and Tanishk Bagchi,,
198,Kesariyo Rang,"Asees K, Dev N",,
199,Mohe Rang Do Laal,Shreya Ghoshal,,
200,Ghar More Pardesiya,Shreya & Vaishali,,
201,Bum Bum Bole,Shaan,,
202,Chaleya,Arijit S,,
203,Pranavalaya,Anurag Kulkarni ,,
204,Kala Chashma,"Amar Arshi, Badshah & Neha Kakkar ",,
205,Udhal Ho,Adarsh Shinde,,
206,Radhe Radhe,Meet Bros ft. Amit Gupta,,
207,Current Laga Re,"Nakash Aziz, Dhvani Bhanushali",,
208,Mere Dholna,Shreya Ghoshal,,
209,GulabiSadi ,Sanju Rathod,,
210,Choli Ke Peeche,"Diljit Dosanjh, IP Singh, Alka Yagnik & Ila Arun",,
211,Go Go Govinda,"Shreya Ghoshal, Aman Trikha ",,
212,Nimboda Nimboda,Kavita K,,
213,Aithey Aa," Akasa, Neeti, Kamaal",,
214,Raataan Lambiyan,Jubin Nautiyal,,
215,Dekhha Tenu,Mohd. Faiz,,
216,Makhna,"Tanishk Bagchi, Asees Kaur",,
217,Nadaaniyan,Akshath,,
218,Nachde Ne Saare,Jasleen Royal,,
219,Bhool Bhulaiyaa 2 (Title Track), Neeraj,,
220,Sweety Tera Drama,"Dev Negi, Pawni Pandey & Shraddha Pandit",,
221,Tilasmi Bahein, Sharmistha Chatterjee,,
222,Gori Radha Ne Kalo Kaan,Kirtidan Gadhvi,,
223,O SAKI SAKI,",Neha K,Tulsi K, B Praak,Vishal-Shekhar",,
224,Kashmir Main Tu Kanyakumari,"Sunidhi Chauhan, Arijit Singh, Neeti Mohan",,
225,Sweetheart,Dev Negi,,
226,Saree Ke Fall Sa,Pritam,,
227,Kar Gayi Chull, Badshah,,
228,Woh Kisna Hai,Sukhwinder Singh,,
229,Gulaabo, Vishal Dadlani,,
230,Badtameez Dil,Benny Dayal,,
231,Balam Pichkari, Vishal Dadlani,,
232,Titli," CHINMAYI SRIPAADA, GOPI SUNDER",,
233,Senorita Zindagi Na Milegi Dobara," Farhan Akhtar, Hrithik Roshan, Abhay Deol",,
234,Sun Saathiya,Priya S,,
235,Aaja Nachle,  Sunidhi Chauhan,,
236,Kudmayi,Shahid,,
237,Zoobi Doobi,Shreya Ghoshal,,
238,Yeh Ishq Hai,Shreya Ghoshal,,
239,Nadiyon Paar," Shamur, Rashmeet Kaur, IP Singh, Sachin- Jigar",,
240,Jhoome Jo Pathaan,Arijit Singh,,
241,Udi Teri Aankhon Se, Sunidhi Chauhan,,
242,Chittiyaan Kalaiyaan,Kanika Kapoor,,
243,Bumbro, Sunidhi Chauhan,,
244,Nakhrewali,Ritesh | Anushri | Ankita | Rohit | Sonali Sonawane | Prashant Nakti,,
245,Fevicol Se," Wajid, Mamta Sharma",,
246,Desi Girl,"Shankar, Sunidhi, Vishal",,
247,Maay Bhavani,"Sukhwinder S, Shreya G",,
248,Masakali,A.R. Rahman,,
249,Saranga Dariya," Sinduri Vishal, Sushmita Narasimhan ",,
250,Chal Chaiya Chaiya,Sapna Awasthi,,
251,Pyaar Hota Kayi Baar Hai,Arijit,,
252,Kesariya,Arijit,,
253,Genda Phool," Rekha Bharadwaj, Shraddha Pandit, Sujata Majumdar",,
254,Jab Saiyaan,Shreya Ghoshal,,
255,Dilliwaali Girlfriend, Pritam Chakraborty,,
256,Gun Gun Guna,Sunidhi Chauhan,,
257,Tattad Tattad, Aditya Narayan.,,
258,Patakha Guddi, Sultana and Jyoti Nooran,,
259,Maahi Ve, Sadhana Sargam; Sujata Bhattacharya,,
260,Laung Da Lashkara," Mahalakshmi Iyer, Hard Kaur",,
261,Tumhi Ho Bandhu,Pritam,,
262,Chandra,Shreya Ghoshal,,
263,Saiyaan Hatto Jaao, Barnali Chattopadhyay,,
264,DILBAR,Neha Kakkar,,
265,Sajni,Arijit Singh,,
266,Papa Mere Papa," Shreya Ghoshal, Baby Aparna ",,
267, AILO UMA BARITE,MONAMI GHOSH,,
268,Sajanaji Vari Vari , Sunidhi Chauhan,,
269,KOMOLA,Ankita Bhattacharyya,,
270,Abhi Toh Party Shuru Hui Hai,Badshah | Aastha,,
271,Albela Sajan,"Shashi Suman, Kunal Pandit, Prithvi Gandharva, Kanika Joshi, Rashi Raagga, Geetikka Manjrekar",,
272,Tamma Tamma Again,"Bappi L, Anuradha P | Tanishk, Badshah",,
273,Heeriye,Jasleen Royal ft Arijit Singh,,
274,Ainvayi Ainvayi,Sunidhi Chauhan,,
275,Manwa Laage," SHREYA GHOSHAL, ARIJIT SINGH ",,
276,Iski Uski," AKRITI KAKAR, SHAHID MALLYA",,
277,Milegi Milegi,Mika Singh,,
278,Khalasi,Aditya Gadhvi x Achint,,
279,Manike Mage Hithe X Tomar Ghore X Hrid Majhare X Ranga Mati (Bangla Folk Mashup),Yohani X Anirban,,
280,Illegal Weapon 2.0,"Tanishk B,Jasmine S,Garry S",,
281,TAPA TINI," Iman Chakraborty, Ananya (Khnada) Bhattacharjee, Upali Chattopadhyay",,
282,Dola Re Dola Re," Krishnakumar Kunnath (K.K), Shreya Ghoshal",,
283,Burjkhalifa,  Nikhita Gandhi | Shashi-Dj Khushi,,
284,Sawaar Loon, Monali Thakur,,
285,Aankh Marey,"Tanishk Bagchi, Mika Singh,Neha,Kumar S",,
286,Sajna,Badshah,,
287,Dance Ka Bhoot,Arijit Singh,,
288,Taito Ailam Sagore,Tasrif Khan | Saint Martin,,
289,Ek Dil Ek Jaan, Shivam Pathak,,
290,Piyu Bole,Sonu Nigam & Shreya Ghoshal,,
291,RANGABATI,SUROJIT | IMAN,,
292,Morni Banke,Tanishk Bagchi | Neha Kakkar,,
293,Mitwa,Shafqat Amanat Ali,,
294,Tum Se," Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel",,
295,Kotha Koiyo Na,Shiblu Mredha X Aleya Begum X Emon Chowdhury,,
296,Dekhechhi Rupshagore,Mahtim Shakib | Arindom,,
297,Dil Galti Kar Baitha Hai,Jubin Nautiyal,,
298,Neel Digante,Shreya Ghoshal | Gotro | Anindya,,
299,Jabo Na Jabo Na Phire,Arijit Singh,,
300,Tum Kya Mile,Arijit Singh,,
301,Shonaro Palongker Ghore,Krishnokoli,,
302,Haan Ke Haan,Monali Thakur,,
303,MONTA RE LOOTERA," SWANAND KIRKIRE, AMITABH BHATTACHARYA",,
304,Chal Rastay Saaji Tram Line,Shreya Ghoshal,,
305,Ekhon Onek Raat,Anupam Roy,,
306,Amar Bhitoro Bahire,Rishi Panda,,
307,Tomay Hrid Majhare Rakhbo (Remake),Anirban Sur,,
308,Asatoma Sadgamaya,Kaushik Ganguly | Arijit Singh,,
309,Jogni,Hariom G.,,
310,Firecracker,Vishal & Sheykhar,,
311,Kalo Jole Kuchla Tole,Iman Chakraborty,,
312,Majhe Majhe Tobo,Prashmita Paul,,
313,EI MAYABI CHANDER RAATE,Chamok Hasan,,
314,Kotobaro Bhebechinu,Mekhla Dasgupta,,
315,Rimjhim E Dhara Te,Shaan,,
316,Tomar Pichu Charbo Na,Nahid Hasan,,
317,Sokhi Tora Prem Koriyo Na, Aditi Chakraborty,,
318,Jhumka,Xefer x Muza,,
319,SATRANGA, ARIJIT SINGH ,,
320,Shada Shada Kala Kala,Chanchal Chowdhury,,
321,Mon Bojhe Naa,Arijit Singh,,
322,PEHLE BHI MAIN,"Vishal M,Raj S",,
323,Tapur Tupur,Arnab Dutta,,
324,Rozana, Shreya Ghoshal ,,
325,Hawayein,Arijit Singh,,
326,Bulbuli,Ritu Raj X Nandita,,
327,Emon Jodi Hoto,Joler Gaan,,
328,JAB TAK,Armaan Malik,,
329,Nazm Nazm,Arko,,
330,Ishq Sufiyana,Vishal - Shekhar,,
331,Dheere Dheere Se Meri Zindagi,Yo Yo Honey Singh,,
332,Halka Halka, Sunidhi Chauhan & Divya Kumar,,
333,Tu Hain Toh," Bunny, Sagar ",,
334,Jug Jug Jeeve," Sachet Tandon, Parampara Tandon & Sachin - Jigar",,
335,Ishq Bulaava,"Sanam Puri, Shipra Goyal",,
336,CHALE AANA,  Armaan M,,
337,Isq Risk,Rahat Fateh Ali Khan,,
338,Bahara,Shreya Ghoshal,,
339,Tu Hai Ki Nahi,Ankit Tiwari,,
340,Sunny Sunny Yaariyan," YO YO HONEY SINGH, NEHA KAKKAR",,
341,Tera Ban Jaunga,"Tulsi Kumar, Akhil Sachdeva",,
342,Moh Moh Ke Dhaage,Monali,,
343,Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal",,
344,Jogi,Arko,,
345,Maiyya Mainu, Sachet Tandon,,
346,SANAM RE,  ARIJIT SINGH,,
347, The Humma Song," Jubin Nautiyal, Shashaa Tirupati",,
348,BOL DO NA ZARA,Armaan Malik,,
349,Bang Bang,"Benny,Neeti",,
350,Sooraj Dooba Hain,Arijit singh Aditi Singh Sharma,,
351,Kaise Hua, Vishal Mishra,,
352,Tujhe Bhula Diya," Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",,
353,Mere Sohneya, Sachet Tandon & Parampara Thakur,,
354,Aayi Nai,"Pawan Singh,Simran,Divya,Amitabh",,
355,Gerua, Arijit Singh & Antara Mitra  ,,
356,Tere Liye,"Atif Aslam, Shreya Ghoshal",,
357,Falak Tak," Udit Narayan, Mahalaxmi Iyer",,
358,Naino Ne Baandhi,Arko,,
359,Saiyaara,"Mohit Chauhan, Tarannum, Sohail Sen",,
360,O Saathi,,,
361,Sadi Gali, Lehmber Hussainpuri,,
362,Ae Dil Hai Mushkil,Arijit,,
363,Chaar Botal Vodka,Yo Yo Honey Singh,,
364,Akh Lad Jaave,Warina H,,
365,Subha Hone Na De,Mika Singh,,
366,Vaaste,Dhvani Bhanushali,,
367,Soni De Nakhre,Sajid - Wajid,,
368,Dil Meri Na Sune,Atif Aslam | Himesh Reshammiya,,
369,MATARGASHTI, MOHIT CHAUHAN,,
370,Tera Fitoor,Arijit Singh,,
371,Galliyan,Ankit Tiwari,,
372,Manali Trance, Yo Yo Honey Singh,,
373,Barbaadiyan," Sachet Tandon, Nikhita Gandhi",,
374, Rait Zara Si," Arijit Singh, Shashaa Tirupati",,
375,Dil Jhoom,Arijit Singh,,
376,Rabba Janda,jubin,,
377,Naina Da Kya Kasoor, Amit Trivedi,,
378,Chaudhavi Shab,Shreya Ghoshal,,
379,Gali Gali,Neha Kakkar,,
380,Hookah Bar,Himesh Reshammiya,,
381,Tareefan,Badshah,,
382,Tu Meri,vishal shekhar,,
383,Ve Maahi,Arijit Singh & Asees Kaur,,
384,Leja Re,Dhvani Bhanushali,,
385,Manohari, Divya Kumar & Neeti Mohan,,
386,Besharmi Ki Height," Benny Dayal, Shalmali Kholgade",,
387,Baarish,"Ash King ,Sashaa",,
388,Najaa, Pav Dharia & Nikhita,,
389,Malang, Ved Sharma,,
390,Balma,Asin,,
391,Dil Se Dil Tak," Laqshay Kapoor, Akashdeep Sengupta, Suvarna Tiwari",,
392,Kamli,Sunidhi Chauhan,,
393,Buzz,Aastha Gill,,
394,JALTE DIYE, anwesshha,,
395,Oh Oh Jane Jaana, Kamaal Khan,,
396,Kaise Mujhe,"Benny Dayal, Shreya Ghosal",,
397,Kamariya,"Aastha Gill, Divya Kumar",,
398,Yaar Naa Miley,Yo Yo Honey Singh,,
399,Akhiyaan Gulaab,Mitraz,,
400,Kusu Kusu, Zahrah S Khan & Dev Negi ,,
401,Thumkeshwari, Ash King & Divya Kumar,,
402,Aankhon Aankhon,Yo Yo Honey Singh,,
403,Humnava Mere,Jubin Nautiyal,,
404, Nachange Saari Raat," NEERAJ SHRIDHAR,TULSI KUMAR",,
405,Galat Baat Hai," NEETI MOHAN, JAVED ALI",,
406,Tenu Leke," Sonu Nigam, Mahalakshmi Iyer",,
407,Maula Mere Maula,Roop Kumar Rathod,,
408,Tip Tip," Udit N, Alka Y, Tanishk",,
409,Aa Re Pritam Pyaare,Mamta Sharma|Sajid Wajid,,
410,Ek Toh Kum Zindagani, Neha Kakkar & Yash Narvekar,,
411,Manike," Yohani, Jubin Nautiyal",,
412,BIBA,Marshmello x Pritam,,
413,LUV LETTER,KANIKA KAPOOR,,
414,Tera Hua, Atif Aslam,,
415,Rangtaari,Yo Yo Honey Singh |Tanishk Bagchi,,
416,AAJ UNSE MILNA HAI,  SHAAN,,
417,Main Tera Boyfriend,Arijit S,,
418,Photo, Karan Sehmbi ,,
419,Aaj dil Shaayraana, Arijit Singh,,
420,Dil Mein Ho Tum, Armaan Malik,,
421,Lat Lag Gayee, Benny Dayal & Shalmali Kholgade,,
422,Lal Dupatta," Alka Yagnik, Udit Narayan",,
423,Aaj Sajeya, Alaya F,,
424,Ek Do Teen, Palak Muchhal ,,
425,Saree Ke Fall Sa,Pritam,,
426,Paani Paani,Badshah,,
427,Aao Kabhi Haveli Pe,"Badshah, Nikhita Gandhi",,
428,Oh Ho Ho Ho,"Sukhbir, Ikka",,
429,Hook Up,Shekhar |Neha Kakkar,,
430,Laila Main Laila,Pawni Pandey,,
431,Tabaah Ho Gaye,Shreya,,
432,Hasina Pagal Deewani,Mika S,,
433,Piya Ke Bazaar Mein, Shalmali Kholgade & Palak Muchhal,,
434,Do You Know," Shaan,  Shreya Ghoshal",,
435,Dil Ka Telephone, Jonita Gandhi & Nakash Aziz,,
